id,url,title,summary,category,breadcrumb,rating_average,rating_count,rating_detail,info,ingredients,directions,notes,nutrition,main_image,ugc_image
6665,https://www.allrecipes.com/recipe/6665/moms-yeast-rolls/,Mom's Yeast Rolls,This is the best bread recipe. Light and fluffy rolls that melt in your mouth. Can be used to make loaves or cinnamon rolls.,['bread'],"['Home', 'Recipes', 'Bread', 'Yeast Bread Recipes', 'Rolls and Buns']",3.603864734299517,207,"{1: 35, 2: 16, 3: 29, 4: 43, 5: 84}","{'servings': '36', 'yield': '2 - 9 x 13 inch pans'}","Ingredient Checklist
2 cups hot water. cup margarine. cup white sugar. 2 teaspoons salt. cup cold water. 2 (.25 ounce) packages active dry yeast. 5 cups all-purpose flour. 2 eggs","Step 1 Melt margarine in hot water. Add sugar and salt and stir. Add cold water and yeast. Stir to dissolve yeast. Advertisement. Step 2 Add 3 cups flour and mix. Add eggs and 2 1/2 - 3 cups more flour. Mix, cover and let rise until dough doubles in size.. Step 3 Punch down and let rise 30 more minutes or until doubles.. Step 4 Make walnut size balls of dough. Place about 2 inches apart in well-buttered 9 x 13 inch pan. Bake in a preheated 350 degrees F (175 degrees C) oven for 30-45 minutes. Brush top of rolls with margarine while hot.",,Nutrition Facts Per Serving: 104 calories; protein 2.5g 5% DV; carbohydrates 16.6g 5% DV; fat 3g 5% DV; cholesterol 10.3mg 3% DV; sodium 163.4mg 7% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1746630.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1746630.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1746630.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3163523.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5092452.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5704868.jpg']"
6666,https://www.allrecipes.com/recipe/6666/sweet-potato-bread-i/,Sweet Potato Bread I,A Southern delight with a 'more-ish' taste. One bite and you want more! This bread freezes well.,"['appetizers-and-snacks', 'bread', 'desserts', 'fruits-and-vegetables', 'holidays-and-events', 'ingredients', 'us-recipes']","['Home', 'Recipes', 'Bread', 'Quick Bread Recipes']",4.709803921568628,510,"{1: 3, 2: 2, 3: 16, 4: 98, 5: 391}","{'yield': '1 - 9 x 5 inch loaf', 'servings': '12'}","Ingredient Checklist
1 cups white sugar. cup vegetable oil. 2 eggs. 1 cups sifted all-purpose flour. 1 teaspoon baking soda. teaspoon salt. teaspoon ground cinnamon. teaspoon ground nutmeg. cup water. 1 cup cooked and mashed sweet potatoes. cup chopped pecans","Step 1 Combine sugar and oil; beat well. Add eggs and beat. Combine flour, baking soda, salt, cinnamon and nutmeg. Stir flour mixture into egg mixture alternately with water. Stir in sweet potatoes and chopped nuts. Advertisement. Step 2 Pour batter into greased 9x5 inch loaf pan (or 2 small loaf pans). Bake at 350 degrees F (175 degrees C) for about one hour.",,Nutrition Facts Per Serving: 303 calories; protein 3.7g 7% DV; carbohydrates 43.2g 14% DV; fat 13.5g 21% DV; cholesterol 31mg 10% DV; sodium 171.4mg 7% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F620196.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F620196.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3429083.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5560338.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3979269.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2408357.jpg']"
6672,https://www.allrecipes.com/recipe/6672/strawberry-bread-i/,Strawberry Bread I,A bread you MUST try! This is one you'll want to keep on hand.,"['bread', 'breakfast-and-brunch', 'fruits-and-vegetables']","['Home', 'Recipes', 'Breakfast and Brunch Recipes', 'Breakfast Bread Recipes']",3.9361702127659575,47,"{1: 5, 2: 3, 3: 6, 4: 9, 5: 24}","{'yield': '1 - 9x5 inch pan or 2 small loaves', 'servings': '12'}","Ingredient Checklist
3 cups all-purpose flour. 2 cups white sugar. 1 teaspoon ground cinnamon. 1 teaspoon salt. 1 teaspoon baking soda. 4 eggs. 1 cups vegetable oil. 1 cup chopped pecans. 1 (10 ounce) package frozen strawberries, thawed","Step 1 Grease and flour a 9 x 5 inch pan well. Preheat oven to 350 degrees F (175 degrees C). Advertisement. Step 2 In a large mixing bowl, sift together sugar, flour, cinnamon, salt, and baking soda.. Step 3 In a smaller bowl, beat the eggs and oil. Stir in pecans and strawberries. Add egg mixture to the sifted ingredients, and stir until just combined.. Step 4 Bake for 1 hour, or until tester inserted in the center comes out clean.",,Nutrition Facts Per Serving: 551 calories; protein 6.3g 13% DV; carbohydrates 63.7g 21% DV; fat 31.5g 48% DV; cholesterol 62mg 21% DV; sodium 322.9mg 13% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F347834.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F347834.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F347834.jpg']"
6677,https://www.allrecipes.com/recipe/6677/sourdough-starter-i/,Sourdough Starter I,A starter good for any sourdough recipe.,['bread'],"['Home', 'Recipes', 'Bread', 'Yeast Bread Recipes', 'Sourdough Bread Recipes']",4.647540983606557,122,"{1: 3, 2: 2, 3: 7, 4: 11, 5: 99}","{'servings': '4', 'yield': '1 cup starter every 3 days', 'total': '3 days', 'prep': '10 mins', 'additional': '3 days'}","Ingredient Checklist
3 tablespoons instant mashed potato flakes. 3 tablespoons white sugar. 1 cup warm water. 2 teaspoons active dry yeast","Step 1 Combine instant potatoes, sugar, water, and yeast in a covered container. Let the starter sit on a counter for 5 days, stirring daily with a wooden spoon. Advertisement. Step 2 On the morning of the fifth day, feed the starter with 3 tablespoons instant potatoes, 3 tablespoons sugar, and 1 cup warm water. In the evening, take out 1 cup of the starter to use in a sourdough recipe. Refrigerate the remaining starter.. Step 3 Every five days, feed the starter 3 tablespoons instant potatoes, 3 tablespoons sugar and 1 cup water. If starter is to be used in a recipe, let the fed starter rest at room temperature 6 hours before use. If starter is not being used in a recipe, keep refrigerated and discard 1 cup of starter after each feeding.",,Nutrition Facts Per Serving: 51 calories; protein 1g 2% DV; carbohydrates 11.9g 4% DV; fat 0.1g; cholesterol 0mg; sodium 3.3mg. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5310633.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5310633.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4774555.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1685450.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5310633.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7836225.jpg']"
6680,https://www.allrecipes.com/recipe/6680/pumpkin-bread-i/,Pumpkin Bread I,"This is recipe that I modified several years ago to lower the calories and fat. Also, by using 3 medium loaf pans instead of one regular loaf pan, the bread is eaten before it dries out. I freeze the other two loaves.","['bread', 'breakfast-and-brunch', 'fruits-and-vegetables']","['Home', 'Recipes', 'Breakfast and Brunch Recipes', 'Breakfast Bread Recipes']",4.594594594594595,185,"{1: 1, 2: 6, 3: 6, 4: 41, 5: 131}","{'total': '1 hr 15 mins', 'servings': '24', 'cook': '50 mins', 'prep': '25 mins', 'yield': '3 7 1/2 x 3 1/2-inch loaves'}","Ingredient Checklist
3 cups all-purpose flour. 2 teaspoons baking soda. 1 teaspoon salt. teaspoon baking powder. 3 cups white sugar. 1 teaspoon ground cinnamon. 1 teaspoon pumpkin pie spice. 1 cup applesauce. 4 eggs, lightly beaten. 1 (15 ounce) can pumpkin puree. cup water. cup chopped walnuts (Optional)","Step 1 Preheat oven to 350 degrees F (175 degrees C). Grease three 7 1/2 x 3 1/2-inch loaf pans. Advertisement. Step 2 In a large mixing bowl combine the flour, soda, salt, baking powder, sugar, cinnamon, and pumpkin pie spice. Stir well. Add applesauce, eggs, pumpkin, and water. Mix batter until well combined. Stir in nuts. Pour batter into prepared pans.. Step 3 Bake until tester inserted in the center of each loaf comes out clean, 50 to 60 minutes.",,Nutrition Facts Per Serving: 202 calories; protein 3.5g 7% DV; carbohydrates 42g 14% DV; fat 2.7g 4% DV; cholesterol 31mg 10% DV; sodium 267.1mg 11% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F918150.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F918150.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1043460.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6322.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7410503.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8771873.jpg']"
6699,https://www.allrecipes.com/recipe/6699/molasses-oat-bran-bread/,Molasses-Oat Bran Bread,"This recipe for a healthy, semi-sweet, dark, and hearty loaf of bread features molasses and oat bran.","['bread', 'breakfast-and-brunch']","['Home', 'Recipes', 'Breakfast and Brunch Recipes', 'Breakfast Bread Recipes']",3.8823529411764706,17,"{1: 2, 2: 1, 3: 1, 4: 6, 5: 7}","{'yield': '2 round loaves', 'servings': '15'}","Ingredient Checklist
1 (.25 ounce) package active dry yeast. 1 pinch white sugar. 1 cup warm water. 2 tablespoons butter, melted. cup molasses. 1 cup oat bran. 3 cups whole wheat flour. teaspoon salt. 1 tablespoon oat bran","Step 1 In a large bowl, dissolve yeast and a pinch of sugar in warm water. Set aside to rest for about 5 minutes. Advertisement. Step 2 Mix butter or margarine and molasses into yeast. Add 1 cup oat bran, 2 cups flour, and salt. Stir, and add flour as needed to make dough stick together. When dough forms a ball, turn out onto a lightly floured surface. Knead for 8 to 10 minutes, adding flour as needed to make a slightly sticky and moist dough. Place in a buttered bowl, and turn to coat the surface. Cover with a damp cloth, and let rise until doubled in bulk, about 1 1/2 to 2 hours.. Step 3 Punch down, and form into two round or oval loaves. Place on a greased baking sheet, and allow to rise 1 hour, or until loaves have doubled in size. Sprinkle 1 tablespoon oat bran on top of the loaves.. Step 4 Bake in a preheated 350 degrees F (175 degrees C) oven for 35 to 45 minutes, or until the tops are a nice dark brown and the bottoms of the loaves sound hollow when tapped.",,Nutrition Facts Per Serving: 134 calories; protein 4.6g 9% DV; carbohydrates 27.5g 9% DV; fat 2.5g 4% DV; cholesterol 4.1mg 1% DV; sodium 93.3mg 4% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F855219.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F855219.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4094067.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F855218.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F490502.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F855219.jpg']"
6705,https://www.allrecipes.com/recipe/6705/nicks-favorite-cherry-pecan-bread/,Nick's Favorite Cherry Pecan Bread,One of my son's favorite breads. You can ice top with a powdered sugar glaze if you wish.,"['bread', 'breakfast-and-brunch']","['Home', 'Recipes', 'Breakfast and Brunch Recipes', 'Breakfast Bread Recipes']",4.34375,32,"{1: 0, 2: 1, 3: 6, 4: 6, 5: 19}","{'yield': '1 loaf', 'servings': '12'}","Ingredient Checklist
cup margarine. cup white sugar. 2 eggs. 1 cup buttermilk. 1 teaspoon baking soda. teaspoon salt. 1 teaspoon vanilla extract. 2 cups all-purpose flour. 1 (10 ounce) jar maraschino cherries, drained and chopped. 1 cup chopped pecans","Step 1 Preheat oven to 350 degrees F (175 degrees C). Grease a 9 x 5 inch loaf pan. Advertisement. Step 2 In a large bowl, cream butter or margarine and sugar together. Add eggs, and continue mixing until light and fluffy. Add baking soda, salt, and vanilla; mix thoroughly. Alternately add buttermilk and flour to the creamed mixture, mixing only enough to hold ingredients together. Fold in cherries and nuts, mixing lightly. Turn batter into prepared pan.. Step 3 Bake for 50 to 60 minutes, or until bread tests done. Cool completely before slicing.",,Nutrition Facts Per Serving: 302 calories; protein 4.8g 10% DV; carbohydrates 37.7g 12% DV; fat 15.3g 24% DV; cholesterol 31.8mg 11% DV; sodium 323.2mg 13% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1025280.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1025280.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1025280.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F38397.jpg']"
6708,https://www.allrecipes.com/recipe/6708/bran-muffins-i/,Bran Muffins I,"This muffin batter can be mixed up ahead of time, and kept in the refrigerator for up to a week for fresh muffins any time.","['bread', 'everyday-cooking']","['Home', 'Recipes', 'Bread', 'Quick Bread Recipes', 'Muffin Recipes', 'Bran Muffin Recipes']",4.571428571428571,63,"{1: 0, 2: 0, 3: 4, 4: 19, 5: 40}","{'servings': '36', 'yield': '3 dozen muffins'}","Ingredient Checklist
2 cups raisin bran cereal. 4 cups whole bran cereal. 2 cups boiling water. 1 cup shortening. 3 cups white sugar. 4 eggs. 4 cups buttermilk. 5 cups all-purpose flour. 5 teaspoons baking soda. 1 teaspoons salt","Step 1 Mix cereal and boiling water together in a metal bowl, and allow to cool. Advertisement. Step 2 Cream shortening, sugar, and eggs in a large bowl. Add buttermilk and cooled cereal mixture. Combine flour, baking soda, and salt; stir into the creamed mixture until flour is moistened. Batter should be lumpy. Put batter into a one gallon wide mouth jar. When using mix, use a ladle to get batter out of the jar; don't mix or stir.. Step 3 When ready to use, spoon batter into muffin tins. Bake at 375 degrees F (195 degrees C) for approximately 15 minutes.",,Nutrition Facts Per Serving: 218 calories; protein 4g 8% DV; carbohydrates 36.4g 12% DV; fat 6.8g 10% DV; cholesterol 21.8mg 7% DV; sodium 352mg 14% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5035509.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5035509.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5035509.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3509321.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4460499.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F21401.jpg']"
6718,https://www.allrecipes.com/recipe/6718/cardamom-bread/,Cardamom Bread,"This makes a lovely tea bread, and is kneaded in the bread machine. You can also hand knead the dough.","['bread', 'breakfast-and-brunch']","['Home', 'Recipes', 'Breakfast and Brunch Recipes', 'Breakfast Bread Recipes']",3.8947368421052633,19,"{1: 1, 2: 3, 3: 1, 4: 6, 5: 8}","{'yield': '1 - 1 1/2 pound loaf', 'servings': '12'}","Ingredient Checklist
1 egg. cup water. cup evaporated skim milk. 1 teaspoon salt. 1 teaspoons canola oil. 3 cups bread flour. 1 teaspoon ground cardamom. 3 tablespoons white sugar. 1 teaspoon active dry yeast","Step 1 Place all ingredients into bread machine in the proper order for your machine. Use the Dough cycle. Advertisement. Step 2 At end of the Dough cycle, remove dough from the machine. Place on a lightly floured board, and let it rest, covered, for about 10 minutes.. Step 3 Shape dough into a loaf, and place it in a 9 x 5 inch greased bread pan. Cover, and let rise for 45 minutes.. Step 4 Just before baking, brush the top of the dough with a little milk, and slash a line down the center. Bake at 375 degrees F (190 degrees C) for 30 to 35 minutes. Remove from pan, and cool on a wire rack.",,Nutrition Facts Per Serving: 157 calories; protein 5.6g 11% DV; carbohydrates 29.5g 10% DV; fat 1.6g 3% DV; cholesterol 15.9mg 5% DV; sodium 212.8mg 9% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F933080.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F933080.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F933080.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F771098.jpg']"
6719,https://www.allrecipes.com/recipe/6719/three-c-bread/,Three C Bread,Very healthy bread--kids even like it.,"['bread', 'breakfast-and-brunch']","['Home', 'Recipes', 'Breakfast and Brunch Recipes', 'Breakfast Bread Recipes']",4.0,3,"{1: 0, 2: 0, 3: 0, 4: 3, 5: 0}","{'yield': '4 small loaves', 'servings': '36'}","Ingredient Checklist
3 eggs, beaten. cup vegetable oil. cup milk. 2 cups sifted all-purpose flour. 1 cup white sugar. 1 teaspoon baking powder. 1 teaspoon baking soda. 1 teaspoon ground cinnamon. teaspoon salt. 2 cups grated carrots. 1 (3.5 ounce) package flaked coconut. cup maraschino cherries, chopped. cup raisins. cup chopped pecans","Step 1 Preheat oven to 350 degrees F (175 degrees C). Grease and flour four 16 ounce fruit or vegetable cans. Advertisement. Step 2 In a large bowl, sift together flour, sugar, baking powder, baking soda, cinnamon, and salt. Combine the eggs, oil, and milk; add to the sifted ingredients, and mix until just combined. Stir in carrots, coconut, cherries, raisins, and pecans.. Step 3 Bake for 45 to 50 minutes. Remove from cans, and cool thoroughly. Wrap in plastic wrap or foil, and refrigerate to store.",,Nutrition Facts Per Serving: 127 calories; protein 1.9g 4% DV; carbohydrates 17.7g 6% DV; fat 5.7g 9% DV; cholesterol 15.8mg 5% DV; sodium 102.9mg 4% DV. Full Nutrition,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F967605.jpg,"['https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F967605.jpg', 'https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F967605.jpg']"
